id,name,sortorder,isactive
﻿1,'Accolade',10,True
2,'Atropunicea',20,True
3,'Atrpurpureum',30,True
4,'Aureomarginata',40,True
5,'Autumnalis Rosea',50,True
6,'Baumannii,60,True
7,'Bessoniana',70,True
8,'Brabant',80,True
9,'Briotii',90,True
10,'Carrierei' ,100,True
11,'Casque Rouge',110,True
12,'Chanticleer',120,True
13,'Cleveland',130,True
14,'Coloratus',140,True
15,'Columnare',150,True
16,'Crimson King',160,True
17,'Drummondii',170,True
18,'Elegantissima',180,True
19,'Elsrijk',190,True
20,'Emerald Queen',200,True
21,'Erecta',210,True
22,'Erectum',220,True
23,'Euchlora',230,True
24,'Fastigiata',240,True
25,'Frisia',250,True
26,'Globosum',260,True
27,'Greenspire',270,True
28,'GumBall',280,True
29,'Hakuro-nishiki',290,True
30,'Inermis',300,True
31,'Italica',310,True
32,'Kanzan',320,True
33,'Laciniatum Wieri',330,True
34,'Lodense' ,340,True
35,'Lorbergii',350,True
36,'Macrophylla',360,True
37,'Mariken',370,True
38,'Mecsek',380,True
39,'Merrill',390,True
40,'Nana',400,True
41,'Nana' (Bungei),410,True
42,'Nanum',420,True
43,'Negenia',430,True
44,'New Horizon',440,True
45,'Pallida',450,True
46,'Paul's Scarlet',460,True
47,'Pendula',470,True
48,'Plena,480,True
49,'Pyramidalis',490,True
50,'Royal Red',500,True
51,'Rubrum',510,True
52,'Sapporo Gold 2',520,True
53,'Schwedleri',530,True
54,'Semperflorens',540,True
55,'Sericea',550,True
56,'Splendens' (Crus -Galli),560,True
57,'Sunburst',570,True
58,'Swat Magret',580,True
59,'Umbraculifera',590,True
60,'Umbraculifera'  (Boule),600,True
61,'Unifiolia',610,True
62,'Variegatum',620,True
63,'Vossi',630,True
64,'Walker',640,True
65,'Westhof's Glorie',650,True
66,'Woodii',660,True
67,'Youngii',670,True
68,'Bolleana',680,True
69,'Aconitifolium',690,True
70,'Asplenifolia',700,True
71,'Chrosocoma',710,True
72,'Dissectum',720,True
73,'Glauca',730,True
74,'Koster',740,True
75,laricio calabrica,750,True
76,laricio corsicana,760,True
77,nigra,770,True
78,'pendulum',780,True
79,'Purpurea Pendula',790,True
80,salzmanni,800,True
81,'Tortuosa',810,True
82,'Walter',820,True
83,'Pembury blue',830,True
84,'Glauca Pendula',840,True
85,'Aurea Pendula',850,True
86,'Elegans',860,True
87,'Nana Gracilis',870,True
88,'Adpressa',880,True
89,'Alumiii',890,True
90,'Araucarioides',900,True
91,'Aurea Nana',910,True
92,'Beauvronensis',920,True
93,'Conica',930,True
94,'Elwoodii',940,True
95,'Fastigiata aurea',950,True
96,'Fastigiata Robusta',960,True
97,'Ferruginea',970,True
98,'Flechteri',980,True
99,'Glauca Compacta',990,True
100,'Globosa Viridis',1000,True
101,'Inversa',1010,True
102,'Kiku Pendula',1020,True
103,'Kiku-Shidare-Takura',1030,True
104,'nutans',1040,True
105,'Pendula Major',1050,True
106,'Pyramidalis Aurea',1060,True
107,'Semperaurea',1070,True
108,'Sieboldii',1080,True
109,'Stewartii',1090,True
110,'Stricta',1100,True
111,'Triomphe Von Boskoop',1110,True
112,'Variegata',1120,True
113,'Watereri',1130,True
114,'Wisselii',1140,True
115,'Zebrina',1150,True
