id,name,sortorder,isactive
﻿2,'Accolade',10,True
3,acerifolia,20,True
4,alba,30,True
5,altissima,40,True
6,arborescens,50,True
7,aria,60,True
8,aucuparia,70,True
9,australis,80,True
10,avium,90,True
11,betulus,100,True
12,bignonioïdes,110,True
13,biloba,120,True
14,calleryana,130,True
15,'Camperdownii',140,True
16,campestre,150,True
17,cappadocicum,160,True
18,caprea,170,True
19,carnea,180,True
20,ceracifera,190,True
21,cerris,200,True
22,coccinea,210,True
23,colurna,220,True
24,cordata,230,True
25,eminens (x),240,True
26,europea (x),250,True
27,'Evereste',260,True
28,excelsior,270,True
29,flava,280,True
30,fraxinifolia,290,True
31,Germanica,300,True
32,glabra,310,True
33,glutinosa,320,True
34,hippocastanum,330,True
35,indica,340,True
36,integra,350,True
37,intermedia,360,True
38,japonica,370,True
39,'John Downie',380,True
40,laevigiata,390,True
41,lamarckii,400,True
42,lavalleei(x),410,True
43,'Liset,420,True
44,loebneri,430,True
45,margaretta (x),440,True
46,mas,450,True
47,media,460,True
48,minor,470,True
49,negundo,480,True
50,nigra ,490,True
51,nigra ssp.nigra,500,True
52,occidentalis,510,True
53,ornus,520,True
54,padus,530,True
55,paniculata,540,True
56,pendula,550,True
57,persica,560,True
58,persimilis,570,True
59,petrea,580,True
60,pinea,590,True
61,platanoïdes,600,True
62,platyphylos,610,True
63,pseudoacacia,620,True
64,pseudoplatanus,630,True
65,regia,640,True
66,resista,650,True
67,robur,660,True
68,'Royalty',670,True
69,rubra,680,True
70,rubrum,690,True
71,saccharinum,700,True
72,sativa,710,True
73,serrulata,720,True
74,silicastrum,730,True
75,styraciflua,740,True
76,subhirtella,750,True
77,sylvatica,760,True
78,sylvestris,770,True
79,syriacus,780,True
80,tomentosa,790,True
81,tremula,800,True
82,triacanthos,810,True
83,triloba,820,True
84,tulipifera,830,True
85,'Umineko',840,True
86,utilis,850,True
87,Vulgare,860,True
88,watereri (x),870,True
89,americana,880,True
90,giganteum,890,True
91,sempervirens,900,True
93,afra,910,True
96,angustifolia,920,True
97,araucana,930,True
98,arizonica,940,True
99,atlantica,950,True
100,azedarach,960,True
101,babylonica,970,True
102,baccata,980,True
103,bentzoe,990,True
106,canadensis,1000,True
107,carica,1010,True
108,carpinifolia,1020,True
109,cembra,1030,True
111,coggygria,1040,True
113,contorta,1050,True
115,crenata,1060,True
116,decidua,1070,True
117,decurrens,1080,True
119,deliciosa ,1090,True
120,denudata,1100,True
121,deodora,1110,True
122,dichotoma,1120,True
123,dioica,1130,True
124,distichum,1140,True
125,dolabrata,1150,True
126,domestica,1160,True
127,equisetifolia,1170,True
128,europaea,1180,True
129,fragilis,1190,True
131,glyptostroboides,1200,True
132,grandiflora,1210,True
133,gunni,1220,True
134,halepensis,1230,True
135,heterophylla,1240,True
138,heterophyllus,1250,True
139,hevifolia,1260,True
140,hybrida,1270,True
141,ilex,1280,True
142,incana,1290,True
143,jambos,1300,True
145,japonicum,1310,True
148,julibrissin,1320,True
149,kaempferi,1330,True
150,kagayamae,1340,True
152,laevis,1350,True
153,latifolia,1360,True
154,laurocerasus,1370,True
155,lawsoniana,1380,True
157,libani,1390,True
159,limon,1400,True
160,macrocarpa,1410,True
161,menziesii,1420,True
162,monspessulanum,1430,True
163,mougeotii,1440,True
164,mugo,1450,True
171,nobilis,1460,True
172,nootkatensis,1470,True
173,nordmanniana,1480,True
174,obtusa,1490,True
175,occidentale,1500,True
177,officinalis,1510,True
178,omorika,1520,True
179,opalus,1530,True
180,orientalis,1540,True
182,palmatum,1550,True
185,pentaphylla,1560,True
187,pinaster,1570,True
188,plicata,1580,True
189,pubescens,1590,True
191,pungens,1600,True
192,pyraster,1610,True
193,pyrenaica,1620,True
194,radiata,1630,True
195,ramosissima,1640,True
196,recurvata,1650,True
198,sellowiana,1660,True
201,serotina,1670,True
202,siliqua,1680,True
203,sinensis,1690,True
205,sitchensis,1700,True
206,stahelii,1710,True
207,strobus,1720,True
208,suber,1730,True
214,terebinthifolus,1740,True
215,torminalis,1750,True
218,trifoliata,1760,True
219,uncinata,1770,True
220,viminalis,1780,True
221,wallichiana,1790,True
222,canadensis (x),1800,True
223,sepulcralis (x),1810,True
224,soulangeana (x),1820,True
225,abies,1830,True
226,aquifolium,1840,True
227,armeniaca,1850,True
228,cerasus,1860,True
229,communis,1870,True
230,oblonga,1880,True
231,pumila,1890,True
232,acuminata,1900,True
233,controversa,1910,True
234,densiflora,1920,True
235,excelsa,1930,True
236,involucrata,1940,True
237,laricio,1950,True
238,lotus,1960,True
239,pavia,1970,True
240,ascendens,1980,True
241,carpinifolium,1990,True
242,concolor,2000,True
243,dentata,2010,True
244,dulcis,2020,True
245,floribunda,2030,True
246,glauca,2040,True
247,harringtonia,2050,True
248,kaki,2060,True
249,liliflora,2070,True
250,macrophylla,2080,True
251,macrophyllus,2090,True
252,parviflora,2100,True
253,peuce,2110,True
254,pinsapo,2120,True
255,toringoides,2130,True
256,vilmorinii (x),2140,True
257,ginnala,2150,True
258,unedo,2160,True
259,lutea,2170,True
260,simplex,2180,True
261,frainetto,2190,True
262,tetandra,2200,True
