id;isactive;name;sortorder
2;True;Acer;10
3;True;Aesculus;20
4;True;Ailanthus;30
5;True;Alnus;40
6;True;Amelanchier;50
7;True;Betula;60
8;True;Caragana;70
9;True;Carpinus;80
10;True;Castanea;90
11;True;Catalpa;100
12;True;Celtis;110
13;True;Cercis;120
14;True;Cornus;130
15;True;Corylus;140
16;True;Crataegus;150
17;True;Fagus;160
18;True;Fraxinus;170
19;True;Ginkgo;180
20;True;Gleditsia;190
21;True;Hibiscus;200
22;True;Juglans;210
23;True;Koeulreuteria;220
24;True;Laburnum;230
25;True;Lagerstroemia;240
26;True;Ligustrum ;250
27;True;Liquidambar;260
28;True;Liriodendron;270
29;True;Magnolia ;280
30;True;Malus;290
31;True;Mespilus;300
32;True;Morus;310
33;True;Parrotia;320
34;True;Paulownia;330
35;True;Pinus;340
36;True;Platanus ;350
37;True;Populus;360
38;True;Prunus;370
39;True;Pterocarya;380
40;True;Pyrus;390
41;True;Quercus;400
42;True;Robinia ;410
43;True;Salix ;420
44;True;Sophora;430
45;True;Sorbus;440
46;True;Tilia;450
47;True;Ulmus;460
48;True;Sequoiadendron ;470
49;True;Abies;480
50;True;Acacia;490
51;True;Actinidia;500
52;True;Albizia;510
53;True;Anacardium;520
54;True;Araucaria;530
55;True;Artocarpus;540
56;True;Beaucarnea;550
57;True;Calocedrus;560
58;True;Casuarina;570
59;True;Cedrela;580
60;True;Cedrus;590
61;True;Ceratonia;600
62;True;Cercidiphyllum;610
63;True;Chamaecyparis;620
64;True;Citrus;630
65;True;Cordia;640
66;True;Cotinus;650
67;True;Cryptomeria;660
68;True;Cupressus;670
69;True;Eucalyptus;680
70;True;Feijoa;690
71;True;Ficus;700
72;True;Heyderia;710
73;True;Larix;720
74;True;Melia;730
75;True;Metasequoia;740
76;True;Olea;750
77;True;Ostrya;760
78;True;Phytolacca;770
79;True;Picea;780
80;True;Poncirus;790
81;True;Portulacaria;800
82;True;Pseudotsuga;810
83;True;Schinus;820
84;True;Sequoia;830
85;True;Styrax;840
86;True;Syzygium;850
87;True;Tamarix;860
88;True;Taxodium;870
89;True;Taxus;880
90;True;Terminalia;890
91;True;Thuja;900
92;True;Thujopsis;910
93;True;Tsuga;920
95;True;Vitex;930
96;True;Wollemia;940
97;True;Cydonia;950
98;True;Ilex;960
99;True;Davidia;970
100;True;Diospyros;980
101;True;Cephalotaxus;990
102;True;Podocarpus;1000
103;True;Arbutus;1010
104;True;Cladastris;1020
105;True;Firmiana;1030
106;True;Gymnocladus;1040
